"REF_DATE","GEO","DGUID","Trade flow detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Prince Edward Island","2016A000211","International imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v1078935106","3.22.5","2","","","","0"
"2017","Prince Edward Island","2016A000211","International imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v1078935106","3.22.5","27","","","","0"
"2010","Prince Edward Island","2016A000211","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670588","3.22.7","25","","","","0"
"2011","Prince Edward Island","2016A000211","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670588","3.22.7","9","","","","0"
"2012","Prince Edward Island","2016A000211","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670588","3.22.7","20","","","","0"
"2013","Prince Edward Island","2016A000211","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670588","3.22.7","13","","","","0"
"2014","Prince Edward Island","2016A000211","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670588","3.22.7","0","","","","0"
"2015","Prince Edward Island","2016A000211","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670588","3.22.7","0","","","","0"
"2016","Prince Edward Island","2016A000211","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670588","3.22.7","0","","","","0"
"2017","Prince Edward Island","2016A000211","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670588","3.22.7","374","","","","0"
"2010","Prince Edward Island","2016A000211","International imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670589","3.22.8","9","","","","0"
"2011","Prince Edward Island","2016A000211","International imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670589","3.22.8","8","","","","0"
"2012","Prince Edward Island","2016A000211","International imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670589","3.22.8","5","","","","0"
"2013","Prince Edward Island","2016A000211","International imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670589","3.22.8","12","","","","0"
"2014","Prince Edward Island","2016A000211","International imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670589","3.22.8","22","","","","0"
"2015","Prince Edward Island","2016A000211","International imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670589","3.22.8","27","","","","0"
"2016","Prince Edward Island","2016A000211","International imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670589","3.22.8","29","","","","0"
"2017","Prince Edward Island","2016A000211","International imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670589","3.22.8","437","","","","0"
"2010","Nova Scotia","2016A000212","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113674603","4.18.5","984","","","","0"
"2011","Nova Scotia","2016A000212","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113674603","4.18.5","2402","","","","0"
"2012","Nova Scotia","2016A000212","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113674603","4.18.5","2376","","","","0"
"2013","Nova Scotia","2016A000212","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113674603","4.18.5","2203","","","","0"
"2014","Nova Scotia","2016A000212","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113674603","4.18.5","152","","","","0"
